Date,Open,High,Low,Close,Volume
10-Jan-18,1245.15,1254.33,1237.23,1254.33,2686017
11-Jan-18,1259.74,1276.77,1256.46,1276.68,3125048
12-Jan-18,1273.39,1305.76,1273.39,1305.2,5443730
16-Jan-18,1323,1339.94,1292.3,1304.86,7220701
17-Jan-18,1312.24,1314,1280.88,1295,5253754
18-Jan-18,1293.95,1304.6,1284.02,1293.32,4026915
19-Jan-18,1312,1313,1292.99,1294.58,4578536
22-Jan-18,1297.17,1327.45,1296.66,1327.31,4140061
23-Jan-18,1338.09,1364.9,1337.34,1362.54,5169306
24-Jan-18,1374.82,1388.16,1338,1357.51,6807457
25-Jan-18,1368,1378.34,1357.62,1377.95,4753012
26-Jan-18,1392.01,1402.53,1380.91,1402.05,4857310
29-Jan-18,1409.18,1431.39,1400.44,1417.68,5701898
30-Jan-18,1403.17,1439.25,1392,1437.82,5871942
31-Jan-18,1451.3,1472.58,1450.04,1450.89,6424693
1-Feb-18,1445,1459.88,1385.14,1390,9113808
2-Feb-18,1477.39,1498,1414,1429.95,11125722
5-Feb-18,1402.62,1458.98,1320.72,1390,11494985
6-Feb-18,1361.46,1443.99,1351.79,1442.84,11066819
7-Feb-18,1449,1460.99,1415.15,1416.78,7162741
8-Feb-18,1429.68,1433.75,1349.94,1350.5,8578557
9-Feb-18,1373.49,1383.5,1265.93,1339.6,14141524
12-Feb-18,1364.67,1393.81,1344.01,1386.23,6738944
13-Feb-18,1385.93,1419.72,1383.53,1414.51,5917879
14-Feb-18,1406.25,1452.06,1403.36,1451.05,5959209
15-Feb-18,1466.89,1468.94,1436.84,1461.76,5652736
16-Feb-18,1457.37,1465.8,1446.56,1448.69,4472564
20-Feb-18,1446.49,1488.77,1446.49,1468.35,6499228
21-Feb-18,1485,1503.49,1478.92,1482.92,6304351
22-Feb-18,1495.36,1502.54,1475.76,1485.34,4858063
23-Feb-18,1495.34,1500,1486.5,1500,4418103
26-Feb-18,1509.2,1522.84,1507,1521.95,4954988
27-Feb-18,1524.5,1526.78,1507.21,1511.98,4808776
28-Feb-18,1519.51,1528.7,1512,1512.45,4515023
1-Mar-18,1513.6,1518.49,1465,1493.45,6835230
2-Mar-18,1469.1,1501.05,1455.01,1500.25,6587564
5-Mar-18,1494.24,1525.38,1481,1523.61,5233934
6-Mar-18,1533.2,1542.13,1528,1537.64,4561718
7-Mar-18,1526.52,1545.9,1522.51,1545,4174123
8-Mar-18,1550,1554.88,1545.25,1551.86,3862615
9-Mar-18,1563.5,1578.94,1559.08,1578.89,4534250
12-Mar-18,1592.6,1605.33,1586.7,1598.39,5132660
13-Mar-18,1615.96,1617.54,1578.01,1588.18,6531892
14-Mar-18,1597,1606.44,1590.89,1591,4259443
15-Mar-18,1595,1596.91,1578.11,1582.32,4069701
